stamp,source,build,klass,actual,tc,conf,peak,fft90,op,bc,bcPk,peakR,aimR,pkOverAim,rOuterAim_widest,gOuterAim,gNoise,snrWidest,disagreePxWidest,polarMs,method
2026-04-28_18-29-55-917Z,training,b107,XL,52,11,0.200,11,10,11,10,16,304,338,0.901,0,0.00,0.00,-,0,72,"low-conf-consensus"
2026-04-28_18-32-08-432Z,training,b107,XL,42,43,0.061,0,43,11,10,4,0,338,0.000,325,6.02,7.25,0.830,325,65,"fft90-fallback"
2026-04-28_18-34-58-887Z,training,b107,XL,42,12,0.011,16,12,10,10,4,295,338,0.874,0,0.00,0.00,-,0,67,"fft90-fallback"
2026-04-28_18-37-51-496Z,training,b107,Mid,14,14,0.389,0,14,14,14,12,0,338,0.000,0,0.00,0.00,-,0,65,"retry-bc-consensus"
2026-04-28_18-39-53-571Z,training,b107,Large,28,28,1.000,0,28,28,28,28,0,338,0.000,0,0.00,0.00,-,0,71,"bc-consensus"
2026-04-29_05-15-43-455Z,training,b109,Small,11,11,0.383,0,11,11,11,10,0,338,0.000,0,0.00,0.00,-,0,64,"bc-consensus"
2026-04-29_05-17-07-868Z,training,b109,Small,11,11,0.766,0,11,11,11,11,0,338,0.000,0,0.00,0.00,-,0,66,"bc-consensus"
2026-04-29_05-18-37-310Z,training,b109,Small,12,12,1.000,0,12,12,12,12,0,338,0.000,0,0.00,0.00,-,0,63,"bc-consensus"
2026-04-29_05-20-55-642Z,training,b110,Small,11,11,0.384,0,11,11,11,8,0,338,0.000,0,0.00,0.00,-,0,66,"fft90-fallback"
2026-04-29_05-22-34-904Z,training,b110,Large,21,21,0.707,0,21,21,21,21,0,338,0.000,0,0.00,0.00,-,0,66,"bc-consensus"
2026-04-29_05-26-20-132Z,training,b110,Large,28,28,0.697,0,28,28,28,28,0,338,0.000,0,0.00,0.00,-,0,75,"bc-consensus"
2026-04-29_05-29-10-169Z,training,b110,XL,42,30,0.000,11,30,11,10,13,290,338,0.859,308,6.65,5.57,1.194,18,61,"fft90-fallback"
2026-04-29_05-31-31-338Z,training,b110,XL,42,20,0.000,10,20,12,42,8,295,338,0.874,340,6.74,7.54,0.894,45,64,"fft90-fallback"
2026-04-29_05-33-41-732Z,training,b110,XL,52,11,0.405,13,11,10,12,5,286,338,0.847,0,0.00,0.00,-,0,78,"fft90-fallback"
2026-04-29_05-35-39-053Z,training,b110,XL,52,10,0.036,0,10,15,10,1,0,338,0.000,0,0.00,0.00,-,0,68,"fft90-fallback"
2026-04-29_05-37-44-380Z,training,b110,XL,52,10,0.251,0,10,11,10,1,0,338,0.000,0,0.00,0.00,-,0,66,"fft90-fallback"
2026-04-29_05-39-28-385Z,training,b110,Large,21,21,0.872,0,21,21,21,21,0,338,0.000,0,0.00,0.00,-,0,71,"bc-consensus"
2026-04-29_05-41-47-931Z,training,b110,Mid,18,18,0.867,0,18,18,18,18,0,338,0.000,0,0.00,0.00,-,0,74,"bc-consensus"
2026-04-30_05-29-59-315Z,training,b112,XL,52,0,0.000,10,10,14,10,1,286,338,0.847,0,0.00,0.00,-,0,62,"fft90-fallback+pap474-abstain"
