cell_idx,R_lo,R_hi,sigma_R,eps_abs,eps_floor,extremeR,gamma_bc,option_beta,ac2_N,ac2_LOSS,ac2_eliminated,ac2_first_loss_stamp,ac1_N,ac1_recovered,ac1_wilson_ub_pct,b6_rescue,b6_regress_correct_to_CW,b6_regress_abstain_to_CW,b6_regress_CW_worse_delta,b6_no_change_correct,b6_no_change_CW_same_or_better,alpha_commits,beta_fires,elapsed_ms
3667,0.4,1.1,0.3,0.015,0.08,0,1.3,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3668,0.4,1.1,0.3,0.015,0.08,0,1.6,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3669,0.4,1.1,0.3,0.015,0.08,0,1.6,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3670,0.4,1.1,0.3,0.015,0.08,0,2,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3671,0.4,1.1,0.3,0.015,0.08,0,2,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3672,0.4,1.1,0.3,0.015,0.08,1,1,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3673,0.4,1.1,0.3,0.015,0.08,1,1,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3674,0.4,1.1,0.3,0.015,0.08,1,1.3,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3675,0.4,1.1,0.3,0.015,0.08,1,1.3,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3676,0.4,1.1,0.3,0.015,0.08,1,1.6,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3677,0.4,1.1,0.3,0.015,0.08,1,1.6,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3678,0.4,1.1,0.3,0.015,0.08,1,2,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3679,0.4,1.1,0.3,0.015,0.08,1,2,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3680,0.4,1.1,0.3,0.015,0.1,0,1,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3681,0.4,1.1,0.3,0.015,0.1,0,1,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3682,0.4,1.1,0.3,0.015,0.1,0,1.3,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3683,0.4,1.1,0.3,0.015,0.1,0,1.3,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3684,0.4,1.1,0.3,0.015,0.1,0,1.6,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3685,0.4,1.1,0.3,0.015,0.1,0,1.6,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3686,0.4,1.1,0.3,0.015,0.1,0,2,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
